tt0055614,West Side Story,"Academy Award for Best Cinematography, Color"
tt0082158,Chariots of Fire,Toronto International Film Festival People's Choice Award
tt0082158,Chariots of Fire,"Academy Award for Best Writing, Original Screenplay"
tt0082158,Chariots of Fire,Academy Award for Best Picture
tt0338526,Van Helsing,TV Krant Filmposter Award
tt0082158,Chariots of Fire,Academy Award for Best Costume Design
tt0082158,Chariots of Fire,Academy Award for Best Original Score
tt0082158,Chariots of Fire,National Board of Review Award for Best Film
tt0088763,Back to the Future,Saturn Award for Best Special Effects
tt0088763,Back to the Future,David di Donatello
tt0088763,Back to the Future,Goldene Leinwand
tt0088763,Back to the Future,Academy Award for Best Sound Editing
tt0088763,Back to the Future,Saturn Award for Best Science Fiction Film
tt0088763,Back to the Future,Saturn Award for the Best Actor
tt0088763,Back to the Future,Jupiter Awards
tt0088763,Back to the Future,Young Artist Awards
tt0088763,Back to the Future,Japan Academy Prize for Outstanding Foreign Language Film
tt0088763,Back to the Future,National Board of Review: Top Ten Films
tt0088763,Back to the Future,Hugo Award for Best Dramatic Presentation
tt0088763,Back to the Future,International Film Music Critics Association Awards
tt0094291,Wall Street,National Board of Review: Top Ten Films
tt0094291,Wall Street,Academy Award for Best Actor
tt0094291,Wall Street,Golden Raspberry Award for Worst Supporting Actress
tt0097576,Indiana Jones and the Last Crusade,Academy Award for Best Sound Editing
tt0097576,Indiana Jones and the Last Crusade,Hugo Award for Best Dramatic Presentation
tt0044706,High Noon,Academy Award for Best Actor
tt0044706,High Noon,Academy Award for Best Film Editing
tt2053425,Rust and Bone,César Award for Best Music Written for a Film
tt2053425,Rust and Bone,César Award for Best Adaptation
tt2053425,Rust and Bone,César Award for Best Editing
tt0061138,A Man and a Woman,"Academy Award for Best Writing, Original Screenplay"
tt0061138,A Man and a Woman,Academy Award for Best International Feature Film
tt0061138,A Man and a Woman,Silver nugget for the best foreign film
tt0061138,A Man and a Woman,Palme d'Or
tt0044706,High Noon,National Board of Review: Top Ten Films
tt0044706,High Noon,Academy Award for Best Original Dramatic or Comedy Score
tt0058385,My Fair Lady,Academy Award for Best Picture
tt0339291,Lemony Snicket's A Series of Unfortunate Events,Academy Award for Best Makeup and Hairstyling
tt0339291,Lemony Snicket's A Series of Unfortunate Events,Australian Film Institute International Award for Best Actress
tt0339291,Lemony Snicket's A Series of Unfortunate Events,Teen Choice Award for Best Villain
tt0058385,My Fair Lady,Academy Award for Best Director
tt0058385,My Fair Lady,Academy Award for Best Actor
tt0058385,My Fair Lady,Academy Award for Best Sound
tt0058385,My Fair Lady,"Academy Award for Best Score, Adaptation or Treatment"
tt0058385,My Fair Lady,National Board of Review: Top Ten Films
tt0058385,My Fair Lady,Silver nugget for the best foreign film
tt0058385,My Fair Lady,"Academy Award for Best Cinematography, Color"
tt0058385,My Fair Lady,"Academy Award for Best Costume Design, Color"
tt0058385,My Fair Lady,"Academy Award for Best Art Direction, Color"
tt0083987,Gandhi,"Academy Award for Best Writing, Original Screenplay"
tt0083987,Gandhi,Academy Award for Best Picture
tt0083987,Gandhi,Academy Award for Best Director
tt0083987,Gandhi,Academy Award for Best Actor
tt0083987,Gandhi,Academy Award for Best Production Design
tt0083987,Gandhi,Academy Award for Best Cinematography
tt0083987,Gandhi,Academy Award for Best Costume Design
tt0083987,Gandhi,Academy Award for Best Film Editing
tt0083987,Gandhi,National Board of Review Award for Best Film
tt0083987,Gandhi,National Board of Review: Top Ten Films
tt0038650,It's a Wonderful Life,National Board of Review: Top Ten Films
tt0825232,The Bucket List,National Board of Review: Top Ten Films
tt0407887,The Departed,Academy Award for Best Picture
tt0407887,The Departed,Academy Award for Best Director
tt0407887,The Departed,"Academy Award for Best Writing, Adapted Screenplay"
tt0466399,Ten Canoes,AACTA Award for Best Editing
tt0466399,Ten Canoes,AACTA Award for Best Original Screenplay
tt0466399,Ten Canoes,AACTA Award for Best Sound
tt0407887,The Departed,Academy Award for Best Film Editing
tt0813547,The Counterfeiters,Academy Award for Best International Feature Film
tt0466399,Ten Canoes,AACTA Award for Best Film
tt0466399,Ten Canoes,AACTA Award for Best Cinematography
tt0466399,Ten Canoes,AACTA Award for Best Direction
tt0407887,The Departed,MTV Movie Award for Best Villain
tt0407887,The Departed,National Board of Review: Top Ten Films
tt0407887,The Departed,Amanda Award for Best Foreign Feature Film
tt0082971,Raiders of the Lost Ark,Academy Award for Best Production Design
tt0082971,Raiders of the Lost Ark,Academy Award for Best Film Editing
